timestamp,location,lat,lon,current_speed,free_flow_speed,confidence,weather
11/6/2025 18:53:46,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 19:03:44,Esplanade,22.5726,88.3639,16,21,0.518524,haze
11/6/2025 19:03:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 19:03:46,Howrah Bridge,22.585,88.3468,14,24,0.998727,haze
11/6/2025 19:03:47,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 19:03:48,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 19:13:43,Esplanade,22.5726,88.3639,12,22,0.62,haze
11/6/2025 19:13:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 19:13:44,Howrah Bridge,22.585,88.3468,15,24,0.99909,haze
11/6/2025 19:13:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 19:13:45,Airport,22.6394,88.4467,14,18,0.873704,haze
11/6/2025 19:23:49,Esplanade,22.5726,88.3639,13,22,0.6,haze
11/6/2025 19:23:49,Salt Lake,22.5867,88.4173,22,27,0.997346,haze
11/6/2025 19:23:50,Howrah Bridge,22.585,88.3468,14,24,1,haze
11/6/2025 19:23:50,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 19:23:51,Airport,22.6394,88.4467,15,19,0.872818,haze
11/6/2025 19:33:43,Esplanade,22.5726,88.3639,13,22,0.6,haze
11/6/2025 19:33:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 19:33:44,Howrah Bridge,22.585,88.3468,14,23,1,haze
11/6/2025 19:33:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 19:33:44,Airport,22.6394,88.4467,15,19,0.871701,haze
11/6/2025 19:43:43,Esplanade,22.5726,88.3639,14,21,0.57,haze
11/6/2025 19:43:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 19:43:45,Howrah Bridge,22.585,88.3468,15,23,1,haze
11/6/2025 19:43:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 19:43:46,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 19:53:47,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 19:53:48,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 19:53:48,Howrah Bridge,22.585,88.3468,14,23,1,haze
11/6/2025 19:53:50,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 19:53:50,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 19:54:26,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 19:54:26,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 19:54:27,Howrah Bridge,22.585,88.3468,14,23,1,haze
11/6/2025 19:54:27,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 19:54:28,Airport,22.6394,88.4467,19,19,1,haze
