timestamp,location,lat,lon,current_speed,free_flow_speed,confidence
9/6/2025 12:02:54,Airport,22.6394,88.4467,16,19,0.808395
9/6/2025 12:07:52,Esplanade,22.5726,88.3639,11,22,0.61
9/6/2025 12:07:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 12:07:53,Howrah Bridge,22.585,88.3468,14,24,1
9/6/2025 12:07:53,EM Bypass,22.4989,88.4122,20,24,0.974908
9/6/2025 12:07:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:12:52,Esplanade,22.5726,88.3639,11,22,0.59
9/6/2025 12:12:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 12:12:53,Howrah Bridge,22.585,88.3468,14,24,1
9/6/2025 12:12:53,EM Bypass,22.4989,88.4122,20,25,0.970712
9/6/2025 12:12:54,Airport,22.6394,88.4467,16,18,0.792628
9/6/2025 12:17:52,Esplanade,22.5726,88.3639,11,22,0.59
9/6/2025 12:17:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 12:17:53,Howrah Bridge,22.585,88.3468,17,24,1
9/6/2025 12:17:54,EM Bypass,22.4989,88.4122,20,25,0.966157
9/6/2025 12:17:54,Airport,22.6394,88.4467,16,18,0.77942
9/6/2025 12:22:52,Esplanade,22.5726,88.3639,14,23,0.57
9/6/2025 12:22:52,Salt Lake,22.5867,88.4173,22,26,0.991899
9/6/2025 12:22:53,Howrah Bridge,22.585,88.3468,16,23,1
9/6/2025 12:22:53,EM Bypass,22.4989,88.4122,20,25,0.95825
9/6/2025 12:22:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:27:52,Esplanade,22.5726,88.3639,17,23,0.54
9/6/2025 12:27:52,Salt Lake,22.5867,88.4173,22,26,0.991632
9/6/2025 12:27:53,Howrah Bridge,22.585,88.3468,15,24,1
9/6/2025 12:27:53,EM Bypass,22.4989,88.4122,20,24,0.956948
9/6/2025 12:27:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:32:53,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 12:32:53,Salt Lake,22.5867,88.4173,22,26,0.989128
9/6/2025 12:32:54,Howrah Bridge,22.585,88.3468,14,23,1
9/6/2025 12:32:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 12:32:55,Airport,22.6394,88.4467,19,19,1
9/6/2025 12:37:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 12:37:52,Salt Lake,22.5867,88.4173,23,26,0.989128
9/6/2025 12:37:53,Howrah Bridge,22.585,88.3468,15,24,1
9/6/2025 12:37:54,EM Bypass,22.4989,88.4122,25,25,1
